iter	Passed	Remaining
0	151	151267
1	153	76430
2	155	51701
3	158	39524
4	162	32276
5	164	27306
6	167	23754
7	170	21081
8	173	19129
9	177	17578
10	182	16421
11	188	15556
12	193	14678
13	196	13860
14	200	13178
15	203	12537
16	209	12103
17	212	11578
18	216	11177
19	220	10803
20	225	10523
21	229	10207
22	233	9928
23	237	9640
24	241	9411
25	244	9177
26	248	8962
27	252	8776
28	257	8615
29	260	8431
30	264	8256
31	267	8103
32	271	7948
33	274	7801
34	277	7651
35	280	7522
36	285	7433
37	288	7312
38	291	7194
39	295	7088
40	298	6983
41	302	6890
42	305	6797
43	308	6706
44	312	6625
45	315	6538
46	317	6442
47	320	6362
48	323	6278
49	326	6204
50	329	6126
51	332	6058
52	335	5990
53	338	5928
54	341	5876
55	345	5817
56	348	5771
57	352	5731
58	356	5680
59	360	5640
60	364	5614
61	368	5575
62	372	5536
63	375	5498
64	379	5458
65	383	5426
66	386	5385
67	389	5333
68	392	5294
69	396	5264
70	399	5225
71	402	5188
72	406	5156
73	409	5121
74	412	5090
75	417	5070
76	419	5033
77	423	5010
78	427	4979
79	430	4948
80	433	4919
81	436	4892
82	440	4864
83	444	4843
84	446	4806
85	449	4780
86	452	4745
87	455	4720
88	458	4692
89	461	4669
90	465	4646
91	468	4619
92	470	4591
93	476	4590
94	480	4575
95	484	4565
96	488	4551
97	492	4531
98	496	4522
99	501	4510
100	504	4489
101	507	4467
102	511	4450
103	514	4428
104	518	4419
105	524	4422
106	529	4423
107	534	4417
108	540	4418
109	543	4399
110	549	4400
111	554	4395
112	561	4407
113	565	4394
114	568	4377
115	571	4355
116	574	4335
117	578	4323
118	581	4301
119	584	4285
120	587	4266
121	591	4259
122	594	4236
123	597	4222
124	600	4205
125	603	4187
126	607	4177
127	610	4157
128	613	4141
129	616	4126
130	623	4137
131	627	4124
132	630	4108
133	633	4093
134	637	4082
135	639	4064
136	642	4046
137	644	4027
138	647	4010
139	650	3994
140	653	3978
141	656	3967
142	659	3951
143	662	3935
144	664	3920
145	668	3907
146	671	3894
147	674	3881
148	677	3867
149	680	3855
150	683	3840
151	686	3828
152	688	3813
153	692	3803
154	695	3791
